,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,Interval,Insertion sort,Selection sort,Merge sort,Quick sort,Heap sort
,,,,,,0,0.000008,0.000009,0.000007,0.000006,0.000014
,,,,,,500,0.028518,0.036089,0.011423,0.004343,0.004321
,,,,,,1000,0.127816,0.148773,0.018925,0.009804,0.014768
,,,,,,1500,0.243562,0.298646,0.031993,0.009952,0.019925
,,,,,,2000,0.419577,0.543221,0.0479,0.010656,0.018514
,,,,,,2500,0.652543,0.908947,0.052165,0.017548,0.016007
,,,,,,3000,0.954945,1.229376,0.060274,0.019587,0.017935
,,,,,,3500,1.289808,1.711613,0.072672,0.020925,0.035492
,,,,,,4000,1.706085,2.116228,0.081946,0.030566,0.03153
,,,,,,4500,2.239249,2.750347,0.09339,0.034355,0.031356
,,,,,,5000,2.829734,3.388914,0.105078,0.034572,0.034726
,,,,,,5500,3.270303,4.133311,0.115683,0.057887,0.041107
,,,,,,6000,3.841753,5.127609,0.126969,0.040888,0.043187
,,,,,,6500,4.546815,6.08562,0.137429,0.042716,0.051801
,,,,,,7000,5.336338,6.432685,0.147202,0.04815,0.055772
,,,,,,7500,6.182836,7.542431,0.15589,0.048295,0.061709
,,,,,,8000,6.858773,9.124319,0.167153,0.056153,0.066861
,,,,,,8500,8.528105,9.796147,0.179434,0.055056,0.073702
,,,,,,9000,9.049576,10.972807,0.191567,0.062451,0.080316
,,,,,,9500,9.955618,11.916452,0.201405,0.067739,0.089104
,,,,,,10000,11.245135,13.721958,0.214439,0.068635,0.093614
