Interval,Insertion sort,Selection sort,Merge sort,Quick sort,Heap sort
0,0.000007,0.00001,0.000005,0.000005,0.000018
500,0.000795,0.034065,0.011969,0.072961,0.008709
1000,0.00134,0.141444,0.032404,0.315968,0.016356
1500,0.001011,0.299731,0.030788,0.637747,0.014028
2000,0.001414,0.544275,0.045081,1.109363,0.019721
2500,0.003535,0.87268,0.05042,1.723976,0.019802
3000,0.001984,1.219991,0.059689,2.537829,0.019031
3500,0.002319,1.634063,0.072603,3.376203,0.021296
4000,0.005565,2.124069,0.078536,4.403646,0.030693
4500,0.002997,2.7416,0.090811,5.587223,0.031918
5000,0.006991,3.54581,0.101102,6.903803,0.03441
5500,0.003705,4.071789,0.110589,8.350339,0.03852
6000,0.008218,4.972476,0.121102,9.953891,0.043769
6500,0.004453,5.742111,0.129936,11.677236,0.050359
7000,0.004822,6.610091,0.141054,13.684934,0.055708
7500,0.005254,7.616922,0.151217,15.663349,0.062061
8000,0.005816,8.558607,0.161675,17.710059,0.065907
8500,0.008374,9.966,0.173402,20.015208,0.074954
9000,0.006695,11.400412,0.184584,23.922487,0.079635
9500,0.006583,12.337984,0.195163,25.083723,0.087572
10000,0.006997,13.934658,0.204039,28.065981,0.096898
